dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
esol,graph-only,2025,0.39709021085131485,1.3024155714234764,0.09881756672889047,1.0080777406692505,1.6962863206863403,15.037596702575684
esol,graph-only,2026,0.4771377184485967,1.4276667421032012,0.10832069014670087,1.003523349761963,2.0382323265075684,15.177769422531128
esol,graph-only,2027,0.48236798448900203,1.435470392174953,0.1089127728341425,1.152771234512329,2.060575246810913,9.65703272819519
esol,graph-only,mean+/-std(n=3),0.452199+/-0.039026,1.388518+/-0.060967,0.105350+/-0.004626,1.054791+/-0.069308,1.931698+/-0.166711,39.9
esol,lang-only-frozen,2025,0.35354903366713397,1.2289375102340898,0.09324260020207302,0.9342446327209473,1.5102874040603638,21.914613723754883
esol,lang-only-frozen,2026,0.42642402385188416,1.3496644910055424,0.10240246187765299,0.9407697916030884,1.82159423828125,10.30472469329834
esol,lang-only-frozen,2027,0.41699707771824523,1.3346625596674617,0.10126422736664913,0.9463735222816467,1.7813241481781006,24.08025860786438
esol,lang-only-frozen,mean+/-std(n=3),0.398990+/-0.032361,1.304422+/-0.053725,0.098970+/-0.004076,0.940463+/-0.004956,1.704402+/-0.138241,56.3
esol,lang-only-unfrozen,2025,0.6136554018058608,1.6190762018103646,0.12284341044593741,1.3807995319366455,2.6214077472686768,20.892767429351807
esol,lang-only-unfrozen,2026,0.49758447891315527,1.457935860372954,0.11061728478214186,1.1991760730743408,2.125576972961426,22.994625091552734
esol,lang-only-unfrozen,2027,0.8506532068801137,1.9062561910560005,0.14463248328346995,1.6056499481201172,3.633812665939331,21.06334090232849
esol,lang-only-unfrozen,mean+/-std(n=3),0.653964+/-0.146931,1.661089+/-0.185421,0.126031+/-0.014068,1.395209+/-0.166255,2.793599+/-0.627658,65.0
esol,graph+lang,2025,0.421761758559573,1.3422660618128508,0.10184112432420318,0.9601846933364868,1.80167818069458,25.789191961288452
esol,graph+lang,2026,0.3415551897698799,1.2079123827062308,0.09164737054722724,0.8669548630714417,1.459052324295044,24.86759662628174
esol,graph+lang,2027,0.4196903710871671,1.3389657928194114,0.10159072456038122,0.9360602498054504,1.7928293943405151,39.85949659347534
esol,graph+lang,mean+/-std(n=3),0.394336+/-0.037331,1.296381+/-0.062572,0.098360+/-0.004747,0.921067+/-0.039510,1.684520+/-0.159471,90.5
esol,graph+lang+pretrain,2025,0.2732942845441599,1.0804887925590168,0.08197942016450491,0.8074011206626892,1.167456030845642,21.574220180511475
esol,graph+lang+pretrain,2026,0.2656929305037566,1.0653565658806,0.08083129981616108,0.812064528465271,1.1349846124649048,24.10520100593567
