dataset,config,seed,pretrained,split_protocol,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,resplit:deepchem-random,0.5818449656748712,0.4206857979297638,0.2811022760402618,0.9180443570662701,28,7724554,7724554,15.404884099960327
esol,hybrid,2026,True,resplit:deepchem-random,0.6559516591892388,0.4899490475654602,0.3097976257116519,0.8983273342593782,12,7724554,7724554,10.822266340255737
esol,hybrid,2027,True,resplit:deepchem-random,0.5940011396830636,0.466263085603714,0.2814022277026713,0.9054140142276474,41,7724554,7724554,17.93384099006653
freesolv,hybrid,2025,True,resplit:deepchem-random,1.1305116108834194,0.7893216609954834,0.29300998411919366,0.9084970022574583,9,7724554,7724554,5.655319690704346
freesolv,hybrid,2026,True,resplit:deepchem-random,1.0082810369964568,0.611623227596283,0.27208896713699793,0.9428738630396499,33,7724554,7724554,9.092788457870483
freesolv,hybrid,2027,True,resplit:deepchem-random,1.2789531216802865,0.7189053893089294,0.34739220319633113,0.9020789822468364,41,7724554,7724554,10.198312759399414
lipo,hybrid,2025,True,resplit:deepchem-random,0.6720535351611086,0.5183899998664856,0.5567389987219911,0.7014500460653045,25,7724554,7724554,61.33771228790283
lipo,hybrid,2026,True,resplit:deepchem-random,0.6443710590467736,0.4814157783985138,0.5384466721269532,0.7342626021392888,26,7724554,7724554,62.8469033241272
lipo,hybrid,2027,True,resplit:deepchem-random,0.6967356615223395,0.5026693344116211,0.5814546252727472,0.6691529819540466,20,7724554,7724554,55.869420528411865
esol,hybrid,2025,True,resplit:deepchem-random,0.5397206034886659,0.3876643180847168,0.25727606504738426,0.9286074425425517,28,7724554,7724554,15.858649730682373
esol,hybrid,2026,True,resplit:deepchem-random,0.6480081354648972,0.4545576274394989,0.3078910938329596,0.9096125181242596,45,7724554,7724554,19.603260040283203
esol,hybrid,2027,True,resplit:deepchem-random,0.6359470113656904,0.4768597483634949,0.30199974814730335,0.8919672802299871,19,7724554,7724554,12.803499460220337
freesolv,hybrid,2025,True,resplit:deepchem-random,0.9900334622767883,0.5984355211257935,0.24855674388322443,0.9076008530898905,37,7724554,7724554,9.64885663986206
freesolv,hybrid,2026,True,resplit:deepchem-random,1.0445449291808628,0.7166568636894226,0.26874201227236766,0.9268611364604284,24,7724554,7724554,7.774088144302368
freesolv,hybrid,2027,True,resplit:deepchem-random,0.8501357278728905,0.6004964113235474,0.21364647878561976,0.938968120871892,28,7724554,7724554,8.443865776062012
lipo,hybrid,2025,True,resplit:deepchem-random,0.6445313424775029,0.48579850792884827,0.5390049353108356,0.7223176957685837,19,7724554,7724554,54.792094230651855
lipo,hybrid,2026,True,resplit:deepchem-random,0.6571764537193109,0.5153548717498779,0.5462494819782951,0.7056782517927829,30,7724554,7724554,66.81881523132324
lipo,hybrid,2027,True,resplit:deepchem-random,0.67594479913602,0.5180721282958984,0.5617307432043127,0.6809157271943787,25,7724554,7724554,61.280296087265015
