dataset,config,seed,pretrained,split_protocol,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,False,resplit:deepchem-random,0.7873214549552948,0.5987117886543274,0.38037254942398846,0.8499387704149463,14,7726090,7726090,16.843273162841797
esol,hybrid,2026,False,resplit:deepchem-random,0.7633771400777709,0.5741923451423645,0.3605333140112047,0.8622984439279529,34,7726090,7726090,22.91238498687744
esol,hybrid,2027,False,resplit:deepchem-random,0.6716863234209628,0.5472174882888794,0.31820482335930633,0.8790557472918772,34,7726090,7726090,21.67267107963562
freesolv,hybrid,2025,False,resplit:deepchem-random,1.2163993957757626,0.8952285647392273,0.31527068294357163,0.8940654355017613,33,7725578,7725578,8.989941120147705
freesolv,hybrid,2026,False,resplit:deepchem-random,1.2963503960012688,1.0100812911987305,0.3498257205613428,0.9055685915072629,28,7725578,7725578,8.253308296203613
freesolv,hybrid,2027,False,resplit:deepchem-random,1.7461953357613706,1.1093242168426514,0.4743056134100759,0.8174624098167819,45,7725578,7725578,10.642476797103882
lipo,hybrid,2025,False,resplit:deepchem-random,0.7841742148392473,0.6095342636108398,0.6496214131044583,0.5935244794514929,37,7726602,7726602,74.07336974143982
lipo,hybrid,2026,False,resplit:deepchem-random,0.8402798607084941,0.6300753355026245,0.7021511725295321,0.5481143759142499,23,7726602,7726602,58.910807847976685
lipo,hybrid,2027,False,resplit:deepchem-random,0.9091966342678279,0.636031985282898,0.7587620635383431,0.43661304897813813,26,7726602,7726602,62.40239858627319
esol,hybrid,2025,False,resplit:deepchem-random,0.8437228021829936,0.6263948678970337,0.4021889865483922,0.8255325046808943,36,7726090,7726090,17.759772300720215
esol,hybrid,2026,False,resplit:deepchem-random,0.7774163217071162,0.5888936519622803,0.36937740215603543,0.8699067793072954,14,7726090,7726090,11.514889001846313
esol,hybrid,2027,False,resplit:deepchem-random,0.7363667364140856,0.5519914031028748,0.3496872616219094,0.8551555821276688,43,7726090,7726090,18.83046841621399
freesolv,hybrid,2025,False,resplit:deepchem-random,1.3261856280640423,1.0107172727584839,0.33295074768308225,0.8342029371204928,27,7725578,7725578,8.103424310684204
freesolv,hybrid,2026,False,resplit:deepchem-random,1.549882527483623,1.142585039138794,0.3987559918062767,0.8389756633544632,26,7725578,7725578,7.947964668273926
freesolv,hybrid,2027,False,resplit:deepchem-random,1.127688903208972,0.855327308177948,0.2833979980338352,0.8926112456133896,35,7725578,7725578,9.294264554977417
