dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
esol,ecfp-xgb,2025,0.6390078663825989,0.7993796759879493,0.38592185895895037,0.6254745125770569,0.6390078663825989,3.8977620601654053
esol,ecfp-xgb,2026,0.627066969871521,0.7918756025232252,0.3822990673515809,0.6289405822753906,0.627066969871521,2.470327615737915
esol,ecfp-xgb,2027,0.6077516674995422,0.7795842914653567,0.37636510911498594,0.6145265698432922,0.6077516674995422,2.629537343978882
esol,ecfp-xgb,mean+/-std(n=3),0.624609+/-0.012878,0.790280+/-0.008160,0.381529+/-0.003939,0.622981+/-0.006143,0.624609+/-0.012878,9.0
esol,ecfp-mlp,2025,0.7618731260299683,0.872853439031988,0.4213932776982633,0.6429665684700012,0.7618731260299683,11.969930648803711
esol,ecfp-mlp,2026,0.6582496762275696,0.8113258754825767,0.3916892053838682,0.6189662218093872,0.6582496762275696,12.813855171203613
esol,ecfp-mlp,2027,0.6107465624809265,0.7815027591000089,0.3772913005333536,0.5902164578437805,0.6107465624809265,10.509078741073608
esol,ecfp-mlp,mean+/-std(n=3),0.676956+/-0.063099,0.821894+/-0.038035,0.396791+/-0.018362,0.617383+/-0.021564,0.676956+/-0.063099,35.3
esol,graph-only,2025,0.2941925014768328,1.1228616312915556,0.54209140051773,0.8893185257911682,1.2608182430267334,4.869312047958374
esol,graph-only,2026,0.32362685459000723,1.1776946964190815,0.568563525168984,0.9222643971443176,1.3869647979736328,3.4279913902282715
esol,graph-only,2027,0.27212948884282795,1.0799365649313935,0.52136817987145,0.8761454820632935,1.1662629842758179,4.341232061386108
esol,graph-only,mean+/-std(n=3),0.296650+/-0.021095,1.126831+/-0.040008,0.544008+/-0.019315,0.895909+/-0.019396,1.271349+/-0.090408,12.6
esol,lang-only-frozen,2025,0.25595553857939585,1.0473521269802313,0.505637173386073,0.823410153388977,1.0969464778900146,3.168311834335327
esol,lang-only-frozen,2026,0.27020776697567533,1.0761166539364277,0.5195240159572087,0.8555620908737183,1.1580270528793335,3.0726542472839355
esol,lang-only-frozen,2027,0.2664053269795009,1.0685181438742406,0.5158556325636813,0.8219054937362671,1.1417310237884521,3.4147510528564453
esol,lang-only-frozen,mean+/-std(n=3),0.264190+/-0.006026,1.063996+/-0.012171,0.513672+/-0.005876,0.833626+/-0.015523,1.132235+/-0.025824,9.7
esol,lang-only-unfrozen,2025,0.9469459227153233,2.0145267777129594,0.9725665316881156,1.6534126996994019,4.058318138122559,5.54856276512146
esol,lang-only-unfrozen,2026,0.5194215774536133,1.4920055817763,0.7203054881081566,1.2701510190963745,2.2260806560516357,6.444988489151001
esol,lang-only-unfrozen,2027,0.8716746994427272,1.9328032756267668,0.93311233139617,1.6044265031814575,3.7357285022735596,5.943123817443848
esol,lang-only-unfrozen,mean+/-std(n=3),0.779347+/-0.186346,1.813112+/-0.229495,0.875328+/-0.110795,1.509330+/-0.170303,3.340042+/-0.798623,17.9
esol,fusion-concat,2025,0.24095996362822397,1.0162085983833051,0.4906018043221637,0.8088427186012268,1.0326799154281616,5.774907112121582
esol,fusion-concat,2026,0.2398445733955928,1.0138539645016704,0.48946504201500957,0.7947674989700317,1.0278998613357544,5.795089960098267
esol,fusion-concat,2027,0.2180540987423488,0.9667019267612211,0.46670113819670545,0.769648551940918,0.9345126152038574,4.825579643249512
esol,fusion-concat,mean+/-std(n=3),0.232953+/-0.010545,0.998921+/-0.022803,0.482256+/-0.011009,0.791086+/-0.016211,0.998364+/-0.045192,16.4
esol,fusion-xattn,2025,0.1973488458565303,0.919660948338647,0.44399085122618537,0.7155066728591919,0.8457762598991394,5.800767660140991
esol,fusion-xattn,2026,0.24303012234824045,1.0205646407809101,0.49270479997027056,0.7975972294807434,1.041552186012268,6.049366235733032
esol,fusion-xattn,2027,0.2553195059299469,1.0460500171001128,0.5050085451126769,0.8080747723579407,1.0942206382751465,7.0528724193573
esol,fusion-xattn,mean+/-std(n=3),0.231899+/-0.024941,0.995425+/-0.054574,0.480568+/-0.026347,0.773726+/-0.041389,0.993850+/-0.106889,18.9
esol,fusion-moe,2025,0.19340420833655766,0.9104233705868852,0.43953116418969446,0.7192156910896301,0.8288707137107849,10.63403058052063
esol,fusion-moe,2026,0.2169351428747177,0.9642183694079929,0.4655021346451022,0.7651163935661316,0.9297170639038086,6.677296161651611
esol,fusion-moe,2027,0.23103143913405283,0.9950524665667386,0.4803881174293373,0.8191625475883484,0.9901294112205505,5.8116679191589355
esol,fusion-moe,mean+/-std(n=3),0.213790+/-0.015521,0.956565+/-0.034971,0.461807+/-0.016883,0.767832+/-0.040848,0.916239+/-0.066520,23.1
esol,ensemble,2025,0.8831847310066223,0.9397790862785904,0.4537034188905809,0.7227922677993774,0.8831847310066223,
esol,ensemble-avg,2025,0.7579991221427917,0.87063145023758,0.420320553344765,0.6842461228370667,0.7579991221427917,
esol,ensemble,2026,0.967542290687561,0.9836372759750217,0.4748771297149179,0.7632262110710144,0.967542290687561,
esol,ensemble-avg,2026,0.8446165323257446,0.9190302129558878,0.44368634689771996,0.7450637221336365,0.8446165323257446,
esol,ensemble,2027,1.1092032194137573,1.0531871720704526,0.5084541970307439,0.7748255729675293,1.1092032194137573,
esol,ensemble-avg,2027,0.8182647824287415,0.9045798927837947,0.4367100694279757,0.732144832611084,0.8182647824287415,
esol,ensemble-all,all,1.1596291065216064,1.0768607646866917,0.5198832552681885,0.7909761667251587,1.1596291065216064,
esol,ensemble,mean+/-std(n=3),0.986643+/-0.093255,0.992201+/-0.046693,0.479012+/-0.022542,0.753615+/-0.022303,0.986643+/-0.093255,0.0
esol,ensemble-avg,mean+/-std(n=3),0.806960+/-0.036254,0.898081+/-0.020286,0.433572+/-0.009794,0.720485+/-0.026162,0.806960+/-0.036254,0.0
esol,ensemble-all,mean+/-std(n=1),1.159629+/-0.000000,1.076861+/-0.000000,0.519883+/-0.000000,0.790976+/-0.000000,1.159629+/-0.000000,0.0
freesolv,ecfp-xgb,2025,5.453032970428467,2.335173006530451,0.6659351890210197,1.6031664609909058,5.453032970428467,1.2405650615692139
freesolv,ecfp-xgb,2026,5.999448776245117,2.4493772221209857,0.6985034851102577,1.6802546977996826,5.999448776245117,1.19907808303833
freesolv,ecfp-xgb,2027,5.912570953369141,2.431577873186286,0.6934275388038675,1.6518332958221436,5.912570953369141,1.5171256065368652
freesolv,ecfp-xgb,mean+/-std(n=3),5.788351+/-0.239744,2.405376+/-0.050170,0.685955+/-0.014307,1.645085+/-0.031831,5.788351+/-0.239744,4.0
freesolv,ecfp-mlp,2025,5.927527904510498,2.434651495493862,0.6943040619765194,1.7750506401062012,5.927527904510498,7.416456460952759
freesolv,ecfp-mlp,2026,6.19118070602417,2.4882083325204443,0.7095771840488132,1.714855432510376,6.19118070602417,6.80434775352478
freesolv,ecfp-mlp,2027,7.351172924041748,2.7113046534909624,0.7731988901322244,1.8273802995681763,7.351172924041748,4.899785041809082
freesolv,ecfp-mlp,mean+/-std(n=3),6.489961+/-0.618408,2.544721+/-0.119804,0.725693+/-0.034165,1.772429+/-0.045975,6.489961+/-0.618408,19.1
freesolv,graph-only,2025,1.4130964205815242,4.164370298192603,1.1875782710424407,2.558298349380493,17.34197998046875,1.8538038730621338
freesolv,graph-only,2026,0.9884112504812387,3.48282975628541,0.993219297068691,2.2294414043426514,12.13010311126709,1.3771398067474365
freesolv,graph-only,2027,1.4020214007450984,4.148018853566833,1.18291523222811,2.434692859649658,17.2060604095459,1.4950411319732666
freesolv,graph-only,mean+/-std(n=3),1.267843+/-0.197640,3.931740+/-0.317497,1.121238+/-0.090543,2.407478+/-0.135627,15.559381+/-2.425501,4.7
freesolv,lang-only-frozen,2025,0.8132043893520648,3.1590993879864353,0.9008991805710568,2.4693472385406494,9.97990894317627,1.576261043548584
freesolv,lang-only-frozen,2026,0.9086574150965764,3.339361858738312,0.9523057025708569,2.622631549835205,11.151337623596191,1.5556509494781494
freesolv,lang-only-frozen,2027,0.821933203477126,3.1760087160524164,0.9057213143274624,2.453524589538574,10.087031364440918,1.8647453784942627
freesolv,lang-only-frozen,mean+/-std(n=3),0.847932+/-0.043087,3.224823+/-0.081285,0.919642+/-0.023180,2.515168+/-0.076262,10.406093+/-0.528779,5.0
freesolv,lang-only-unfrozen,2025,0.6464743467477652,2.8166899095136833,0.8032522310167145,2.2606098651885986,7.933742046356201,9.986403226852417
freesolv,lang-only-unfrozen,2026,0.5026164864118282,2.4836006157256074,0.7082631740178031,1.900431513786316,6.168272018432617,10.028269052505493
