intervalo,w,delta_solicitado,delta_obtenido,desviacion
0,1,-1.2959600001573561,-1.3388000000000013,0.6308725176849204
1,1,-0.9854800075292587,-0.9725400000000013,0.47475115886957053
2,1,-0.7375200986862183,-0.7569500000000008,0.4983275523875438
3,1,-0.5795501172542572,-0.5662500000000003,0.656039083595932
4,1,-0.4522000253200531,-0.4698700000000007,0.40635649508847554
5,1,-0.34654998779296875,-0.31925000000000037,0.47612321467043617
6,1,-0.2550499439239502,-0.307910000000001,0.4194271268964256
7,1,-0.1658499836921692,-0.24645000000000072,0.3234004484735762
8,1,-0.0693100094795227,-0.1354500000000003,0.4685495187099335
9,1,-0.007009983062744141,-0.008600000000000385,0.4159363875080424
10,1,0.007009983062744141,0.0,0.36814302580730796
11,1,0.0693100094795227,0.03655999999999926,0.5257581319767106
12,1,0.1658499836921692,0.03161000000000014,0.4131183455398225
13,1,0.2550499439239502,0.12749999999999995,0.47446073609355754
14,1,0.34654998779296875,0.2983600000000006,0.4725272902838952
15,1,0.4522000253200531,0.3509900000000008,0.4110152175842646
16,1,0.5795501172542572,0.43923999999999985,0.5859089821186909
17,1,0.7375200986862183,0.6491000000000011,0.5634798350491351
18,1,0.9854800075292588,0.7943000000000011,0.651007941094424
19,1,1.2959600001573564,0.8438900000000009,0.5784506246287495
0,3,-1.2959600001573561,-1.6826200000000022,0.47463989513781946
1,3,-0.9854800075292587,-1.2090100000000015,0.5400424374493547
2,3,-0.7375200986862183,-0.912410000000001,0.4425198278880959
3,3,-0.5795501172542572,-0.6720400000000009,0.4418170344376847
4,3,-0.4522000253200531,-0.5579500000000003,0.42679339561819624
5,3,-0.34654998779296875,-0.3976900000000002,0.42877786477675167
6,3,-0.2550499439239502,-0.30876000000000037,0.547512556333241
7,3,-0.1658499836921692,-0.20825000000000093,0.3558111612960453
8,3,-0.0693100094795227,-0.1023799999999998,0.4046503994820595
9,3,-0.007009983062744141,-0.008600000000000385,0.39261858108138514
10,3,0.007009983062744141,0.0,0.33124469037103105
11,3,0.0693100094795227,0.03655999999999926,0.4335828731369706
12,3,0.1658499836921692,0.19661999999999957,0.4415282060953643
13,3,0.2550499439239502,0.28290000000000104,0.5542105847317883
14,3,0.34654998779296875,0.38306000000000084,0.49883443181496656
15,3,0.4522000253200531,0.532010000000001,0.48407359961281776
16,3,0.5795501172542572,0.6849899999999995,0.5441747055920926
17,3,0.7375200986862183,0.7793400000000017,0.5642820805151539
18,3,0.9854800075292588,1.020580000000002,1.150629699020023
19,3,1.2959600001573564,1.4974500000000024,2.119398560090896
