dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,hybrid,2025,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.5804458120750486,0.4039812982082367,0.27668911199355023,0.9174269507124067,39,7724554,7724554,18.566725492477417
esol,hybrid,2026,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.6181990627124978,0.4181528687477112,0.29372777162513264,0.9177370942656825,27,7724554,7724554,14.776034355163574
esol,hybrid,2027,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.5747994581134368,0.43555140495300293,0.27296187965831137,0.9117436145769082,29,7724554,7724554,15.187461853027344
esol,graph-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.7163762409743272,0.5020612478256226,0.34148494458055656,0.8742241394488194,44,3746823,3746823,8.405345678329468
esol,graph-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.7276232369904031,0.5076977014541626,0.3457189841830153,0.8860378862860903,37,3746823,3746823,7.831362724304199
esol,graph-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.553777270237606,0.4100916087627411,0.26297882237438386,0.9180811808118081,36,3746823,3746823,7.388065814971924
esol,smiles-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.7268296437696504,0.5299509167671204,0.3464679122867219,0.8705266995644226,41,4505092,4505092,13.719537496566772
esol,smiles-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.786059225678098,0.5764339566230774,0.37348394497838705,0.8669980761631063,23,4505092,4505092,10.334165811538696
esol,smiles-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,1128,0.7619184574566631,0.5875766277313232,0.36182131238663773,0.8449290488506058,13,4505092,4505092,8.55219316482544
freesolv,hybrid,2025,True,hybrid_norm_s2025,resplit:deepchem-random,642,0.916241615902375,0.5257340669631958,0.2300306417272677,0.9208614210469617,32,7724554,7724554,8.794078826904297
freesolv,hybrid,2026,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.1447416769584469,0.7697342038154602,0.294520774744568,0.9121566370443684,19,7724554,7724554,6.968930959701538
freesolv,hybrid,2027,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.0646878324955453,0.6207184195518494,0.267565282766915,0.9042751332476522,17,7724554,7724554,6.720007419586182
freesolv,graph-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.1635307275069464,0.6731399297714233,0.2921147820318339,0.8723784751436459,28,3746823,3746823,3.732257127761841
freesolv,graph-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.2059254936180084,0.7419983744621277,0.31026223454035545,0.9025156471625123,21,3746823,3746823,3.214965343475342
freesolv,graph-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.1026170160730837,0.613768458366394,0.27709721543233756,0.8973333044434492,31,3746823,3746823,3.8294882774353027
freesolv,smiles-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.5683634034671565,1.1661001443862915,0.3937516413787864,0.768120901640614,15,4505092,4505092,5.027865886688232
freesolv,smiles-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.503963954858842,1.1079853773117065,0.38694199581326966,0.8483757000891174,16,4505092,4505092,5.142815113067627
freesolv,smiles-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,642,1.415788050812984,1.004799246788025,0.35579981154277013,0.8307312944211704,21,4505092,4505092,5.705174446105957
lipo,hybrid,2025,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.5724292039616798,0.431650310754776,0.47870777682493837,0.7809699530559301,27,7724554,7724554,63.03136849403381
lipo,hybrid,2026,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.5891218251677596,0.45000043511390686,0.4896820176662094,0.7634795933222612,33,7724554,7724554,69.78170466423035
lipo,hybrid,2027,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.623584885731366,0.45763087272644043,0.5182180582801831,0.7284348129844265,25,7724554,7724554,61.20725679397583
lipo,graph-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.5550468516549929,0.39784809947013855,0.4641713639879739,0.7940700849601504,66,3746823,3746823,51.591124534606934
lipo,graph-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.5689190078976991,0.42404836416244507,0.4728893002676852,0.7794234770629754,49,3746823,3746823,41.99954152107239
lipo,graph-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.6144458864904861,0.44768455624580383,0.5106232711876796,0.7363363716741951,23,3746823,3746823,28.386620044708252
lipo,smiles-only,2025,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.9658575870429793,0.7611305713653564,0.8077217846729499,0.37642840788915266,10,4505092,4505092,30.594043254852295
lipo,smiles-only,2026,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.9772731484115854,0.7513066530227661,0.812316004400143,0.34913591874368033,43,4505092,4505092,55.0099880695343
lipo,smiles-only,2027,True,hybrid_norm_s2025,resplit:deepchem-random,4200,0.9685063517179553,0.7465524077415466,0.8048583160104287,0.3449297318977279,13,4505092,4505092,33.14713454246521
