dataset,config,seed,pretrained,init_tag,split_protocol,n_pool,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
esol,graph-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.6339855624203659,0.4628196358680725,0.30221064332555136,0.90149149893462,69,3746823,3746823,11.794044494628906
esol,graph-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.6220568980353088,0.4869973659515381,0.29556076271330095,0.9167071753291258,44,3746823,3746823,8.51904821395874
esol,graph-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.5914499254111671,0.45317596197128296,0.28086888580910835,0.9065564344793008,76,3746823,3746823,10.933336973190308
esol,smiles-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.7631138472558313,0.5862471461296082,0.36376400407192133,0.8572771028547101,14,4505092,4505092,8.6147301197052
esol,smiles-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.7034952248639663,0.5053722858428955,0.3342549305098404,0.8934705549014358,35,4505092,4505092,12.545215845108032
esol,smiles-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,1128,0.7325248544141298,0.537376880645752,0.34786282125869944,0.8566630415571018,20,4505092,4505092,9.746030569076538
freesolv,graph-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,0.9526729762589371,0.6551888585090637,0.23917706015704382,0.914442931832387,17,3746823,3746823,2.957608938217163
freesolv,graph-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,0.8394731280471804,0.5741456747055054,0.21598084618236207,0.9527602519017863,34,3746823,3746823,3.972412109375
freesolv,graph-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,0.8365747037502592,0.5556421875953674,0.21023847585439817,0.9408997073134914,46,3746823,3746823,4.676745891571045
freesolv,smiles-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,1.8534784504224537,1.265840768814087,0.46533232062203866,0.6761504617443969,13,4505092,4505092,4.7692482471466064
freesolv,smiles-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,1.453658057443559,0.965738832950592,0.3739992226276755,0.8583493696003488,36,4505092,4505092,7.396750450134277
freesolv,smiles-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,642,1.4448845307040528,1.0720196962356567,0.36311200919541703,0.8237023697528781,12,4505092,4505092,4.690547227859497
lipo,graph-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.5394785560839667,0.40405189990997314,0.45115200000343053,0.8054601804967289,63,3746823,3746823,49.415306091308594
lipo,graph-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.5687917788325225,0.4314345717430115,0.47278354661423044,0.7795221407823575,99,3746823,3746823,53.075066328048706
lipo,graph-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.6156850708055926,0.4661586284637451,0.5116530711464656,0.7352718157095761,66,3746823,3746823,51.03249955177307
lipo,smiles-only,2025,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.9548343589194803,0.7542409300804138,0.7985033433497017,0.39058069426944697,8,4505092,4505092,29.17796492576599
lipo,smiles-only,2026,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.9250145485739102,0.7254482507705688,0.7688783052423555,0.4168832564325774,17,4505092,4505092,35.89979076385498
lipo,smiles-only,2027,True,hybrid_graph_smiles_s2025,resplit:deepchem-random,4200,0.9537867453259873,0.7579419612884521,0.7926258741767113,0.36469026338512056,8,4505092,4505092,29.34330463409424
